fname,image_height,image_width,source,bbox,target,tb_type,image_type
h0001.png,512,512,train,none,no_tb,none,healthy
h0003.png,512,512,train,none,no_tb,none,healthy
h0005.png,512,512,train,none,no_tb,none,healthy
h0008.png,512,512,train,none,no_tb,none,healthy
h0009.png,512,512,train,none,no_tb,none,healthy
h0010.png,512,512,train,none,no_tb,none,healthy
h0012.png,512,512,train,none,no_tb,none,healthy
h0013.png,512,512,train,none,no_tb,none,healthy
h0016.png,512,512,train,none,no_tb,none,healthy
h0017.png,512,512,train,none,no_tb,none,healthy
h0019.png,512,512,train,none,no_tb,none,healthy
h0020.png,512,512,train,none,no_tb,none,healthy
h0021.png,512,512,train,none,no_tb,none,healthy
h0022.png,512,512,train,none,no_tb,none,healthy
h0023.png,512,512,train,none,no_tb,none,healthy
h0025.png,512,512,train,none,no_tb,none,healthy
h0026.png,512,512,train,none,no_tb,none,healthy
h0027.png,512,512,train,none,no_tb,none,healthy
h0028.png,512,512,train,none,no_tb,none,healthy
h0030.png,512,512,train,none,no_tb,none,healthy
h0032.png,512,512,train,none,no_tb,none,healthy
h0033.png,512,512,train,none,no_tb,none,healthy
h0034.png,512,512,train,none,no_tb,none,healthy
h0035.png,512,512,train,none,no_tb,none,healthy
h0036.png,512,512,train,none,no_tb,none,healthy
h0038.png,512,512,train,none,no_tb,none,healthy
h0039.png,512,512,train,none,no_tb,none,healthy
h0041.png,512,512,train,none,no_tb,none,healthy
h0042.png,512,512,train,none,no_tb,none,healthy
h0043.png,512,512,train,none,no_tb,none,healthy
h0044.png,512,512,train,none,no_tb,none,healthy
h0045.png,512,512,train,none,no_tb,none,healthy
h0046.png,512,512,train,none,no_tb,none,healthy
h0048.png,512,512,train,none,no_tb,none,healthy
h0049.png,512,512,train,none,no_tb,none,healthy
h0050.png,512,512,train,none,no_tb,none,healthy
h0053.png,512,512,train,none,no_tb,none,healthy
h0055.png,512,512,train,none,no_tb,none,healthy
h0056.png,512,512,train,none,no_tb,none,healthy
h0060.png,512,512,train,none,no_tb,none,healthy
h0061.png,512,512,train,none,no_tb,none,healthy
h0062.png,512,512,train,none,no_tb,none,healthy
h0063.png,512,512,train,none,no_tb,none,healthy
h0070.png,512,512,train,none,no_tb,none,healthy
h0071.png,512,512,train,none,no_tb,none,healthy
h0074.png,512,512,train,none,no_tb,none,healthy
h0075.png,512,512,train,none,no_tb,none,healthy
h0076.png,512,512,train,none,no_tb,none,healthy
h0078.png,512,512,train,none,no_tb,none,healthy
h0079.png,512,512,train,none,no_tb,none,healthy
h0080.png,512,512,train,none,no_tb,none,healthy
h0081.png,512,512,train,none,no_tb,none,healthy
h0084.png,512,512,train,none,no_tb,none,healthy
h0085.png,512,512,train,none,no_tb,none,healthy
h0087.png,512,512,train,none,no_tb,none,healthy
h0088.png,512,512,train,none,no_tb,none,healthy
h0093.png,512,512,train,none,no_tb,none,healthy
h0094.png,512,512,train,none,no_tb,none,healthy
h0095.png,512,512,train,none,no_tb,none,healthy
h0096.png,512,512,train,none,no_tb,none,healthy
h0097.png,512,512,train,none,no_tb,none,healthy
h0098.png,512,512,train,none,no_tb,none,healthy
h0100.png,512,512,train,none,no_tb,none,healthy
h0101.png,512,512,train,none,no_tb,none,healthy
h0102.png,512,512,train,none,no_tb,none,healthy
h0103.png,512,512,train,none,no_tb,none,healthy
h0104.png,512,512,train,none,no_tb,none,healthy
h0105.png,512,512,train,none,no_tb,none,healthy
h0108.png,512,512,train,none,no_tb,none,healthy
h0111.png,512,512,train,none,no_tb,none,healthy
h0112.png,512,512,train,none,no_tb,none,healthy
h0113.png,512,512,train,none,no_tb,none,healthy
h0115.png,512,512,train,none,no_tb,none,healthy
h0116.png,512,512,train,none,no_tb,none,healthy
h0117.png,512,512,train,none,no_tb,none,healthy
h0118.png,512,512,train,none,no_tb,none,healthy
h0119.png,512,512,train,none,no_tb,none,healthy
h0120.png,512,512,train,none,no_tb,none,healthy
h0121.png,512,512,train,none,no_tb,none,healthy
h0122.png,512,512,train,none,no_tb,none,healthy
h0123.png,512,512,train,none,no_tb,none,healthy
h0124.png,512,512,train,none,no_tb,none,healthy
h0125.png,512,512,train,none,no_tb,none,healthy
h0126.png,512,512,train,none,no_tb,none,healthy
h0127.png,512,512,train,none,no_tb,none,healthy
h0131.png,512,512,train,none,no_tb,none,healthy
h0133.png,512,512,train,none,no_tb,none,healthy
h0134.png,512,512,train,none,no_tb,none,healthy
h0137.png,512,512,train,none,no_tb,none,healthy
h0138.png,512,512,train,none,no_tb,none,healthy
h0141.png,512,512,train,none,no_tb,none,healthy
h0142.png,512,512,train,none,no_tb,none,healthy
h0143.png,512,512,train,none,no_tb,none,healthy
